,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
1068,1068,False,,6500000,Comedy,,8491,tt0098627,English,Weekend at Bernie's,"Two friends are invited for a weekend to a luxury island with their boss. The boss gets shot and nobody seems to notice, except for the two friends. In order not to become suspects of murder they treat the body as a puppet and make people believe he's still alive. The killer wants to do his job so when he is informed that the stiff is still alive he's got to shoot him again, and again, and again.",8.051891,/h3hjMREZEUPtDkZBiYDzLq0THk0.jpg,Gladden_Entertainment,United_States_of_America,1989-07-05,30218387.0,97.0,English,Released,"Bernie may be dead, but he's still the life of the party!",Weekend at Bernie's,False,6.4,255.0,1989,"Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,Terry Kiser,Don Calfa,Catherine Parks,Eloise DeJoria",Ted Kotcheff,"beach,mission of murder,boss,bad boss,house,female corpse",8491.0,42041.0,15794.0
1198,1198,False,,14000000,"Action,Drama,History,War,Adventure",http://www.dasboot.com,387,tt0082096,German,Das Boot,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",8.80338,/nAhTaTpjATAtoxlf3Hbe6bDvQe0.jpg,"Radiant_Film_GmbH,Süddeutscher_Rundfunk,Columbia_Pictures_Corporation,Bavaria_Film,Westdeutscher_Rundfunk_(WDR),Twin_Bros._Productions",Germany,1981-09-16,85000000.0,149.0,"Deutsch,English,Français",Released,When the hunters become the hunted,Das Boot,False,7.9,623.0,1981,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Otto Sander,Sky du Mont,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Rita Cadillac,Günter Lamprecht,Jean-Claude Hoffmann,Arno Kral,Helmut Neumeier,Wilhelm Pietsch,Dirk Salomon,Ulrich Günther,Maryline Moulard,Edwige Pierre",Wolfgang Petersen,"terror,submarine,based on novel,atlantic ocean,gibraltar,world war ii,duty,war correspondent,torpedo,drinking,sailor,convoy,u boat,destroyer,depth charge,comrade,german submarine,naval battle,periscope,suicidal mission",387.0,110399.0,26352.0
1446,1446,False,,0,"Action,Comedy,Thriller,Romance",,9434,tt0119229,English,Grosse Pointe Blank,"Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.",7.556814,/3qn4gjft8dl5syUDpmPvWqCPFAf.jpg,"Caravan_Pictures,Hollywood_Pictures,Roger_Birnbaum_Productions",United_States_of_America,1997-04-11,28084357.0,107.0,English,Released,Even a hit man deserves a second shot.,Grosse Pointe Blank,False,6.9,278.0,1997,"John Cusack,Minnie Driver,Dan Aykroyd,Joan Cusack,Alan Arkin,Hank Azaria,Jeremy Piven,Mitchell Ryan,David Barrett,Michael Cudlitz,Steve Pink,K. Todd Freeman,Doug Dearth,Ann Cusack,Barbara Harris,Jenna Elfman,Belita Moreno,Bill Cusack",George Armitage,"mission of murder,school party,high school reunion",,,
1587,1587,False,,36000000,"Thriller,Science_Fiction,Mystery,Romance",,782,tt0119177,English,Gattaca,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",12.89312,/gPYtuvhQvP7v5F1Tqt2iQWR3Y7i.jpg,"Columbia_Pictures,Jersey_Films",United_States_of_America,1997-09-07,12532777.0,106.0,"English,Esperanto",Released,There is no gene for the human spirit.,Gattaca,False,7.5,1846.0,1997,"Ethan Hawke,Jude Law,Gore Vidal,Uma Thurman,Alan Arkin,Xander Berkeley,Jayne Brook,William Lee Scott,Loren Dean,Ernest Borgnine,Tony Shalhoub,Una Damon",Andrew Niccol,"paraplegic,suicide attempt,cheating,dna,spaceman,new identity,heart disease,false identity,blood sample,biotechnology,space mission,dystopia,investigation,genetics,hostility,exercise,eugenics,dystopic future",782.0,116277.0,9566.0
1666,1666,False,,0,"Action,Comedy,Family",,32302,tt0118539,English,3 Ninjas: High Noon at Mega Mountain,"Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans.",3.014082,/qTavfpV1XWblnrfkASOxBnrdO0M.jpg,"TriStar_Pictures,Leeds/Ben-Ami_Productions,Sheen_Productions",United_States_of_America,1998-04-10,0.0,93.0,"English,Français,Deutsch",Released,Saving the day the ninja way!,3 Ninjas: High Noon at Mega Mountain,False,3.9,38.0,1998,"Victor Wong,Mathew Botuchis,Hulk Hogan,Loni Anderson,Jim Varney,Michael O'Laskey II,James Paul Roeske II,Alan McRae,Margarita Franco,Chelsey Earlywine,Lindsay Felton,Syntrell Ryder,Joseph Ackler,Brian Anglin,Kirk Baily,Brendan O'Brien,Dwayne Carrington,Pat Mahoney,Dan Shadwell,James Gale,Dawn Merrick,Lawrence E. Galleoos,Patrick Adamson,Roy Yerbey,Denis Berkfeldt,Holly Johnson,Rick Wiles,Jim Dirker,Charles Hudson,Robert Himber,Carl L. Williams,Jacqueline Woods,Craig Shugart,Emily Roeske,Michael Vecqueray,Aimee J. Nelson,Craig Price,Ed Anderson,Mary Jasionowski,Jeff Krebs,Greg Backstrom,Kenneth Hogue,J. Bryan Morse,Andrea Zondler,Anthony Fiorino,Duke Jackson,Henry Pawlak,Kim Richard Draves,Julian Brewster,Ryan Gardner Smith,Mark Swanson,Travis McKenna",Sean McNamara,"hostage,hero,rivalry,good vs evil,crime,youth,danger,family,escapade,save the day,young heroes,siblings relations,eccentric family,vigilantism,heroic mission,buddies,daring rescue,master villain",32302.0,430289.0,77120.0
1779,1779,False,,75000000,"Action,Drama,Romance",,8656,tt0120647,English,Deep Impact,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",11.644633,/nbF4Tuj4OY8btrjoOHtk64hkKbJ.jpg,"Paramount_Pictures,DreamWorks_SKG,Zanuck/Brown_Productions,Manhattan_Project",United_States_of_America,1998-05-08,140464664.0,120.0,English,Released,Heaven and Earth are about to collide.,Deep Impact,False,5.9,870.0,1998,"Robert Duvall,Téa Leoni,Elijah Wood,Vanessa Redgrave,Morgan Freeman,Maximilian Schell,Leelee Sobieski,James Cromwell,Jon Favreau,Laura Innes,Mary McCormack,Richard Schiff,Blair Underwood,Charles Martin Smith,Una Damon,Dougray Scott,Derek de Lint,Suzy Nakamura,Alimi Ballard,W. Earl Brown,Denise Crosby,Jason Dohring,Tucker Smallwood,Mike O'Malley,Kurtwood Smith,Ron Eldard",Mimi Leder,"usa president,nasa,metereologist,space mission,comet,natural disaster,tsunami,astronomer,astronaut,woman director,disaster movie",8656.0,95468.0,10754.0
1786,1786,False,,30000000,"Comedy,Drama",,9452,tt0118798,English,Bulworth,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,3.385342,/lW9B8JXVRPqJVGSpHEzCJp9n3oZ.jpg,Twentieth_Century_Fox_Film_Corporation,United_States_of_America,1998-05-15,29202884.0,108.0,English,Released,Brace yourself. This politician is about to tell the truth!,Bulworth,False,6.3,66.0,1998,"Warren Beatty,Halle Berry,Sean Astin,Christine Baranski,Adilah Barnes,J. Kenneth Campbell,Don Cheadle,Kevin Cooney,Nora Dunn,Joshua Malina,Laurie Metcalf,Debra Monk,Wendell Pierce,Oliver Platt,Sarah Silverman,Paul Sorvino,Jack Warden,Isaiah Washington,Jermaine Williams,Kimberly Deauna Adams,Vinny Argiro,Kirk Baltz,Ernie Lee Banks,Amiri Baraka,Graham Beckel,Thomas Jefferson Byrd,Scott Michael Campbell,Jann Carl,Florence Stanley,James Pickens Jr.,Helen Martin,Larry King,Deborah Moore,Deborah Lacey,Marion Jackson,Brian Hooks,Jim Haynie,Randee Heller,Robin Gammell,Myra J.",Warren Beatty,"mission of murder,politics,election campaign,liberal,swearing,political satire,hip hop culture",,,
1944,1944,False,,0,"Comedy,Action,Adventure",,19379,tt0082199,English,Condorman,"Comic artist and writer Woody performs a simple courier operation for his friend Harry who works for the CIA. But when he successfully fends off hostile agents, he earns the respect of the beautiful Natalia, who requests his assistance for her defection. Woody uses this request as leverage to use the CIA's resources to bring his comic book creation, Condorman, to life to battle the evil Krokov.",3.327697,/abgxJPCU2AAxP4kSdvdWCU6qr6r.jpg,Walt_Disney_Productions,United_States_of_America,1981-07-02,0.0,90.0,English,Released,An action adventure romantic comedy spy story.,Condorman,False,5.6,37.0,1981,"Michael Crawford,Oliver Reed,Barbara Carrera,James Hampton,Jean-Pierre Kalfon,Dana Elcar,Vernon Dobtcheff,Robert Arden",Charles Jarrott,mission,,,
1993,1993,False,The Rescuers Collection,1200000,"Fantasy,Family,Animation,Adventure",,11319,tt0076618,English,The Rescuers,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.",11.32442,/49rGpB2x6AFB83SC4IBl9foRIGp.jpg,Walt_Disney_Productions,United_States_of_America,1977-06-22,71215869.0,78.0,English,Released,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,The Rescuers,False,6.7,609.0,1977,"Bob Newhart,Eva Gabor,Geraldine Page,Joe Flynn,Jeanette Nolan,Pat Buttram,Jim Jordan,John McIntire,Michelle Stacy,Bernard Fox,Larry Clemmons,James MacDonald,George Lindsey,Bill McMillian,Dub Taylor",John Lounsbery,"kidnapping,mouse,baby-snatching,bottle,rescue,animation,energy,rescue mission,mole,car,hole,tide",,,
2019,2019,False,The Lord of the Rings Animated Collection,4000000,"Fantasy,Drama,Animation,Adventure",,123,tt0077869,English,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,7.914795,/1l3WpoF7TX9pOprX4XepCXjQXUV.jpg,"United_Artists,Fantasy_Films",United_States_of_America,1978-11-15,30471420.0,132.0,English,Released,Fantasy...beyond your imagination,The Lord of the Rings,False,6.1,187.0,1978,"Christopher Guard,William Squire,Michael Scholes,John Hurt,Simon Chandler,Dominic Guard,Norman Bird,Michael Graham Cox,Anthony Daniels,David Buck,Peter Woodthorpe,Fraser Kerr,Philip Stone,André Morell,Alan Tilvern,Annette Crosbie,Michael Deacon,John Westbrook",Ralph Bakshi,"elves,dwarves,hobbit,mission",123.0,109424.0,11104.0
2029,2029,False,,73000000,"Crime,Mystery",,8688,tt0120832,English,Snake Eyes,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.",11.604533,/i49r4ycCQAoGh2esfnL57PWGNh.jpg,nan,"Canada,United_States_of_America",1998-08-07,103891409.0,98.0,"Český,English",Released,Believe everything except your eyes.,Snake Eyes,False,5.8,331.0,1998,"Nicolas Cage,Gary Sinise,John Heard,Carla Gugino,Tamara Tunie,Stan Shaw,Kevin Dunn,Michael Rispoli,Joel Fabiani,Luis Guzmán,David Anthony Higgins,Mike Starr,Chip Zien,Michaella Bassey,Paul Joseph Bernardo,Jernard Burks,Mark Camacho,Desmond Campbell,Jean-Paul Chartrand,Chip Chuipka,Deano Clavet,Tara Ann Culp,Kelly Deadmon",Brian De Palma,"casino,political activism,boxer,mission of murder,boxing match,suspense,police officer,witness to murder",8688.0,63592.0,39209.0
2043,2043,False,,15000000,Fantasy,,11639,tt0083791,English,The Dark Crystal,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil.",13.524001,/enCcF48dvT16O2ixGRslU4mPjO7.jpg,"Universal_Pictures,Jim_Henson_Productions,Incorporated_Television_Company_(ITC),Henson_Associates_(HA)","United_Kingdom,United_States_of_America",1982-12-17,40577001.0,93.0,"English,Italiano",Released,"Another World, Another Time... In the Age of Wonder.",The Dark Crystal,False,7.3,233.0,1982,"Jim Henson,Kathryn Mullen,Frank Oz,Dave Goelz,Steve Whitmire,Brian Muehl,Stephen Garlick,Lisa Maxwell,Billie Whitelaw,Percy Edwards,Barry Dennen,Michael Kilgarriff,Jerry Nelson,Thick Wilson,John Baddeley,David Buck,Charles Collingwood,Sean Barrett,Patrick Monckton,Susan Westerby,Joseph O'Conor",Jim Henson,"liberation,castle,mythical creature,mission,fantasy world,crystal",,,
